month,currency,rate
2018-05-15,TWD,41.78
2018-05-15,THB,44.46
2018-05-15,USD,1.4234
2018-05-15,EUR,1.1501
2018-05-15,AED,5.2285
2018-05-15,ALL,148.73
2018-05-15,DZD,162.25
2018-05-15,AOA,308.21
2018-05-15,XCD,3.8433
2018-05-15,AMD,684.66
2018-05-15,AWG,2.548
2018-05-15,AZN,2.422
2018-05-15,BSD,1.4234
2018-05-15,BHD,0.5366
2018-05-15,BDT,118.18
2018-05-15,BBD,2.8469
2018-05-15,BYN,2.8775
2018-05-15,BZD,2.8451
2018-05-15,XOF,754.39
2018-05-15,BMD,1.4234
2018-05-15,BTN,93.4
2018-05-15,BOB,9.836
2018-05-15,BAM,2.2493
2018-05-15,BWP,13.62
2018-05-15,BND,1.8646
2018-05-15,BGN,2.2494
2018-05-15,BIF,2538.41
2018-05-15,KHR,5722.25
2018-05-15,XAF,754.39
2018-05-15,CVE,127.25
2018-05-15,KYD,1.1672
2018-05-15,CLP,845.3
2018-05-15,CNY,8.9469
2018-05-15,COP,3842.53
2018-05-15,KMF,565.79
2018-05-15,CDF,2298.86
2018-05-15,CRC,803.22
2018-05-15,HRK,8.5261
2018-05-15,CUP,1.4234
2018-05-15,CZK,29.1
2018-05-15,DJF,252.97
2018-05-15,DOP,70.52
2018-05-15,ECS,1.4234
2018-05-15,EGP,25.2
2018-05-15,SVC,12.44
2018-05-15,ERN,21.35
2018-05-15,ETB,38.96
2018-05-15,FJD,2.871
2018-05-15,XPF,137.24
2018-05-15,GMD,67.54
2018-05-15,GEL,3.459
2018-05-15,GHS,6.3165
2018-05-15,GTQ,10.54
2018-05-15,GNF,12846.61
2018-05-15,GYD,294.26
2018-05-15,HTG,92.93
2018-05-15,HNL,33.66
2018-05-15,HUF,356.78
2018-05-15,ISK,141.79
2018-05-15,IDR,19607.3
2018-05-15,IQD,1691.76
2018-05-15,JMD,177.25
2018-05-15,JOD,1.0099
2018-05-15,KZT,467.09
2018-05-15,KES,142.91
2018-05-15,KWD,0.4269
2018-05-15,KGS,98.06
2018-05-15,LAK,11843.07
2018-05-15,LBP,2152.25
2018-05-15,LSL,16.97
2018-05-15,LRD,1.4234
2018-05-15,LYD,1.8932
2018-05-15,MOP,11.5
2018-05-15,MKD,70.81
2018-05-15,MGA,4584.21
2018-05-15,MWK,1032.71
2018-05-15,MVR,21.92
2018-05-15,MRO,504.89
2018-05-15,MUR,47.82
2018-05-15,MDL,23.41
2018-05-15,MNT,3404.88
2018-05-15,MAD,13.04
2018-05-15,MZN,85.68
2018-05-15,MMK,1882.43
2018-05-15,NPR,149.45
2018-05-15,NIO,44.46
2018-05-15,NGN,513.15
2018-05-15,OMR,0.548
2018-05-15,PKR,164.5
2018-05-15,PAB,1.4234
2018-05-15,PGK,4.6318
2018-05-15,PYG,7898.71
2018-05-15,PEN,4.5744
2018-05-15,PLN,4.7864
2018-05-15,QAR,5.1828
2018-05-15,RON,5.3522
2018-05-15,RUB,87.12
2018-05-15,RWF,1228.43
2018-05-15,STD,28153.7
2018-05-15,RSD,135.91
2018-05-15,SCR,19.57
2018-05-15,SLL,11095.77
2018-05-15,SBD,11.06
2018-05-15,SOS,822.75
2018-05-15,LKR,222.62
2018-05-15,SDG,25.84
2018-05-15,SRD,10.63
2018-05-15,SZL,16.97
2018-05-15,TZS,3238.34
2018-05-15,TOP,1.8272
2018-05-15,TTD,9.6
2018-05-15,TND,3.4053
2018-05-15,TRY,5.7227
2018-05-15,TMT,4.9821
2018-05-15,UGX,5252.52
2018-05-15,UAH,37.23
2018-05-15,UYU,40.21
2018-05-15,UZS,11497.55
2018-05-15,VUV,153.81
2018-05-15,VEF,84623.92
2018-05-15,VND,32417.64
2018-05-15,WST,3.5444
2018-05-15,YER,356.06
2018-05-15,ZMW,13.55
2018-05-15,ZWL,515.14
2018-05-18,ARS,28.67
2018-05-18,AUD,1.8272
2018-05-18,BRL,4.8142
2018-05-18,CAD,1.7929
2018-05-18,DKK,8.5659
2018-05-18,HKD,11.17
2018-05-18,INR,93.4
2018-05-18,ILS,5.0041
2018-05-18,JPY,152.64
2018-05-18,MYR,5.5365
2018-05-18,MXN,25.6
2018-05-18,NZD,1.9398
2018-05-18,NOK,11.03
2018-05-18,PHP,74.12
2018-05-18,SAR,5.3383
2018-05-18,SGD,1.8646
2018-05-18,ZAR,16.97
2018-05-18,KRW,1521.09
2018-05-18,SEK,11.94
2018-05-18,CHF,1.3767
2018-05-18,TWD,41.78
2018-05-18,THB,44.46
2018-05-18,USD,1.4234
2018-05-18,EUR,1.1501
2018-05-18,AED,5.2285
2018-05-18,ALL,148.73
2018-05-18,DZD,162.25
2018-05-18,AOA,308.21
2018-05-18,XCD,3.8433
2018-05-18,AMD,684.66
2018-05-18,AWG,2.548
2018-05-18,AZN,2.422
2018-05-18,BSD,1.4234
2018-05-18,BHD,0.5366
2018-05-18,BDT,118.18
2018-05-18,BBD,2.8469
2018-05-18,BYN,2.8775
2018-05-18,BZD,2.8451
2018-05-18,XOF,754.39
2018-05-18,BMD,1.4234
2018-05-18,BTN,93.4
2018-05-18,BOB,9.836
2018-05-18,BAM,2.2493
2018-05-18,BWP,13.62
2018-05-18,BND,1.8646
2018-05-18,BGN,2.2494
2018-05-18,BIF,2538.41
2018-05-18,KHR,5722.25
2018-05-18,XAF,754.39
2018-05-18,CVE,127.25
2018-05-18,KYD,1.1672
2018-05-18,CLP,845.3
2018-05-18,CNY,8.9469
2018-05-18,COP,3842.53
2018-05-18,KMF,565.79
2018-05-18,CDF,2298.86
2018-05-18,CRC,803.22
2018-05-18,HRK,8.5261
2018-05-18,CUP,1.4234
2018-05-18,CZK,29.1
2018-05-18,DJF,252.97
2018-05-18,DOP,70.52
2018-05-18,ECS,1.4234
2018-05-18,EGP,25.2
2018-05-18,SVC,12.44
2018-05-18,ERN,21.35
2018-05-18,ETB,38.96
2018-05-18,FJD,2.871
2018-05-18,XPF,137.24
2018-05-18,GMD,67.54
2018-05-18,GEL,3.459
2018-05-18,GHS,6.3165
2018-05-18,GTQ,10.54
2018-05-18,GNF,12846.61
2018-05-18,GYD,294.26
2018-05-18,HTG,92.93
2018-05-18,HNL,33.66
2018-05-18,HUF,356.78
2018-05-18,ISK,141.79
2018-05-18,IDR,19607.3
2018-05-18,IQD,1691.76
2018-05-18,JMD,177.25
2018-05-18,JOD,1.0099
2018-05-18,KZT,467.09
2018-05-18,KES,142.91
2018-05-18,KWD,0.4269
2018-05-18,KGS,98.06
2018-05-18,LAK,11843.07
2018-05-18,LBP,2152.25
2018-05-18,LSL,16.97
2018-05-18,LRD,1.4234
2018-05-18,LYD,1.8932
2018-05-18,MOP,11.5
2018-05-18,MKD,70.81
2018-05-18,MGA,4584.21
2018-05-18,MWK,1032.71
2018-05-18,MVR,21.92
2018-05-18,MRO,504.89
2018-05-18,MUR,47.82
2018-05-18,MDL,23.41
2018-05-18,MNT,3404.88
2018-05-18,MAD,13.04
2018-05-18,MZN,85.68
2018-05-18,MMK,1882.43
2018-05-18,NPR,149.45
2018-05-18,NIO,44.46
2018-05-18,NGN,513.15
2018-05-18,OMR,0.548
2018-05-18,PKR,164.5
2018-05-18,PAB,1.4234
2018-05-18,PGK,4.6318
2018-05-18,PYG,7898.71
2018-05-18,PEN,4.5744
2018-05-18,PLN,4.7864
2018-05-18,QAR,5.1828
2018-05-18,RON,5.3522
2018-05-18,RUB,87.12
2018-05-18,RWF,1228.43
2018-05-18,STD,28153.7
2018-05-18,RSD,135.91
2018-05-18,SCR,19.57
2018-05-18,SLL,11095.77
2018-05-18,SBD,11.06
2018-05-18,SOS,822.75
2018-05-18,LKR,222.62
2018-05-18,SDG,25.84
2018-05-18,SRD,10.63
2018-05-18,SZL,16.97
2018-05-18,TZS,3238.34
2018-05-18,TOP,1.8272
2018-05-18,TTD,9.6
2018-05-18,TND,3.4053
2018-05-18,TRY,5.7227
2018-05-18,TMT,4.9821
2018-05-18,UGX,5252.52
2018-05-18,UAH,37.23
2018-05-18,UYU,40.21
2018-05-18,UZS,11497.55
2018-05-18,VUV,153.81
2018-05-18,VEF,84623.92
2018-05-18,VND,32417.64
2018-05-18,WST,3.5444
2018-05-18,YER,356.06
2018-05-18,ZMW,13.55
2018-05-18,ZWL,515.14
2018-06-30,ARS,32.65
2018-06-30,AUD,1.767
2018-06-30,BRL,4.8699
2018-06-30,CAD,1.7185
2018-06-30,DKK,8.4919
2018-06-30,HKD,10.47
2018-06-30,INR,91.25
2018-06-30,ILS,4.7682
2018-06-30,JPY,146.7
2018-06-30,MYR,5.3133
2018-06-30,MXN,26.41
2018-06-30,NZD,1.9315
2018-06-30,NOK,10.82
2018-06-30,PHP,69.98
2018-06-30,SAR,5.0034
2018-06-30,SGD,1.795
2018-06-30,ZAR,16.77
2018-06-30,KRW,1441.61
2018-06-30,SEK,11.71
2018-06-30,CHF,1.3259
2018-06-30,TWD,39.95
2018-06-30,THB,42.87
2018-06-30,USD,1.3342
2018-06-30,EUR,1.1399
2018-06-30,AED,4.9005
2018-06-30,ALL,144.38
2018-06-30,DZD,155.36
2018-06-30,AOA,312.06
2018-06-30,XCD,3.6022
2018-06-30,AMD,643.7
2018-06-30,AWG,2.3881
2018-06-30,AZN,2.2701
2018-06-30,BSD,1.3342
2018-06-30,BHD,0.5038
2018-06-30,BDT,111.86
2018-06-30,BBD,2.6683
2018-06-30,BYN,2.667
2018-06-30,BZD,2.6666
2018-06-30,XOF,747.73
2018-06-30,BMD,1.3342
2018-06-30,BTN,91.25
2018-06-30,BOB,9.219
2018-06-30,BAM,2.2294
2018-06-30,BWP,13.28
2018-06-30,BND,1.795
2018-06-30,BGN,2.2297
2018-06-30,BIF,2374.79
2018-06-30,KHR,5431.33
2018-06-30,XAF,747.73
2018-06-30,CVE,126.07
2018-06-30,KYD,1.094
2018-06-30,CLP,834.64
2018-06-30,CNY,8.5191
2018-06-30,COP,3821.31
2018-06-30,KMF,560.79
2018-06-30,CDF,2154.65
2018-06-30,CRC,752.34
2018-06-30,HRK,8.4279
2018-06-30,CUP,1.3342
2018-06-30,CZK,29.46
2018-06-30,DJF,237.1
2018-06-30,DOP,66.16
2018-06-30,ECS,1.3342
2018-06-30,EGP,23.89
2018-06-30,SVC,11.67
2018-06-30,ERN,20.01
2018-06-30,ETB,36.53
2018-06-30,FJD,2.7548
2018-06-30,XPF,136.02
2018-06-30,GMD,62.99
2018-06-30,GEL,3.2753
2018-06-30,GHS,6.2058
2018-06-30,GTQ,9.9556
2018-06-30,GNF,12042.05
2018-06-30,GYD,276
2018-06-30,HTG,88.11
2018-06-30,HNL,31.86
2018-06-30,HUF,364.09
2018-06-30,ISK,141.12
2018-06-30,IDR,18954.32
2018-06-30,IQD,1585.63
2018-06-30,JMD,168
2018-06-30,JOD,0.9466
2018-06-30,KZT,435.12
2018-06-30,KES,134.68
2018-06-30,KWD,0.4032
2018-06-30,KGS,91.26
2018-06-30,LAK,11134.82
2018-06-30,LBP,2019.23
2018-06-30,LSL,16.77
2018-06-30,LRD,1.3342
2018-06-30,LYD,1.8144
2018-06-30,MOP,10.78
2018-06-30,MKD,70.19
2018-06-30,MGA,4329.32
2018-06-30,MWK,968.64
2018-06-30,MVR,20.67
2018-06-30,MRO,476.15
2018-06-30,MUR,45.89
2018-06-30,MDL,22.39
2018-06-30,MNT,3212.63
2018-06-30,MAD,12.64
2018-06-30,MZN,79.09
2018-06-30,MMK,1809.77
2018-06-30,NPR,146
2018-06-30,NIO,41.86
2018-06-30,NGN,480.96
2018-06-30,OMR,0.5135
2018-06-30,PKR,154.2
2018-06-30,PAB,1.3342
2018-06-30,PGK,4.3392
2018-06-30,PYG,7565.58
2018-06-30,PEN,4.3693
2018-06-30,PLN,4.9169
2018-06-30,QAR,4.8576
2018-06-30,RON,5.2772
2018-06-30,RUB,82.17
2018-06-30,RWF,1159.89
2018-06-30,STD,28043.91
2018-06-30,RSD,134.64
2018-06-30,SCR,18.38
2018-06-30,SLL,10379.69
2018-06-30,SBD,10.49
2018-06-30,SOS,763.13
2018-06-30,LKR,210.5
2018-06-30,SDG,24.11
2018-06-30,SRD,9.9634
2018-06-30,SZL,16.77
2018-06-30,TZS,3044.53
2018-06-30,TOP,1.767
2018-06-30,TTD,9.0408
2018-06-30,TND,3.3889
2018-06-30,TRY,6.5007
2018-06-30,TMT,4.6695
2018-06-30,UGX,4984.39
2018-06-30,UAH,34.79
2018-06-30,UYU,41.72
2018-06-30,UZS,10670.47
2018-06-30,VUV,147.49
2018-06-30,VEF,105131.14
2018-06-30,VND,30384.05
2018-06-30,WST,3.3922
2018-06-30,YER,333.72
2018-06-30,ZMW,13.7
2018-06-30,ZWL,482.82
2018-07-31,ARS,36.59
2018-07-31,AUD,1.7867
2018-07-31,BRL,4.9419
2018-07-31,CAD,1.7515
2018-07-31,DKK,8.4819
2018-07-31,HKD,10.34
2018-07-31,INR,89.7
2018-07-31,ILS,4.779
2018-07-31,JPY,145.06
2018-07-31,MYR,5.2776
2018-07-31,MXN,26.88
2018-07-31,NZD,1.9183
2018-07-31,NOK,10.76
2018-07-31,PHP,70.42
2018-07-31,SAR,4.9416
2018-07-31,SGD,1.7894
2018-07-31,ZAR,18
2018-07-31,KRW,1456.13
2018-07-31,SEK,11.71
2018-07-31,CHF,1.3108
2018-07-31,TWD,39.74
2018-07-31,THB,43.17
2018-07-31,USD,1.3176
2018-07-31,EUR,1.138
2018-07-31,AED,4.8396
2018-07-31,ALL,143.38
2018-07-31,DZD,155.06
2018-07-31,AOA,324.93
2018-07-31,XCD,3.5575
2018-07-31,AMD,635.1
2018-07-31,AWG,2.3585
2018-07-31,AZN,2.2419
2018-07-31,BSD,1.3176
2018-07-31,BHD,0.4979
2018-07-31,BDT,111.2
2018-07-31,BBD,2.6352
2018-07-31,BYN,2.6391
2018-07-31,BZD,2.6335
2018-07-31,XOF,746.45
2018-07-31,BMD,1.3176
2018-07-31,BTN,89.7
2018-07-31,BOB,9.1046
2018-07-31,BAM,2.2257
2018-07-31,BWP,13.66
2018-07-31,BND,1.7894
2018-07-31,BGN,2.2257
2018-07-31,BIF,2339.82
2018-07-31,KHR,5349.42
2018-07-31,XAF,746.45
2018-07-31,CVE,125.83
2018-07-31,KYD,1.0804
2018-07-31,CLP,843.66
2018-07-31,CNY,8.5255
2018-07-31,COP,3850.13
2018-07-31,KMF,559.84
2018-07-31,CDF,2129.22
2018-07-31,CRC,747.54
2018-07-31,HRK,8.3993
2018-07-31,CUP,1.3176
2018-07-31,CZK,29.41
2018-07-31,DJF,234.16
2018-07-31,DOP,65.37
2018-07-31,ECS,1.3176
2018-07-31,EGP,23.56
2018-07-31,SVC,11.53
2018-07-31,ERN,19.76
2018-07-31,ETB,36.09
2018-07-31,FJD,2.7461
2018-07-31,XPF,135.79
2018-07-31,GMD,62.94
2018-07-31,GEL,3.2413
2018-07-31,GHS,6.2245
2018-07-31,GTQ,9.8598
2018-07-31,GNF,11892.6
2018-07-31,GYD,275.13
2018-07-31,HTG,87.57
2018-07-31,HNL,31.57
2018-07-31,HUF,368.12
2018-07-31,ISK,143.82
2018-07-31,IDR,18356.06
2018-07-31,IQD,1565.95
2018-07-31,JMD,173.24
2018-07-31,JOD,0.9358
2018-07-31,KZT,448.96
2018-07-31,KES,133.01
2018-07-31,KWD,0.3989
2018-07-31,KGS,90
2018-07-31,LAK,11090.83
2018-07-31,LBP,1992.2
2018-07-31,LSL,18
2018-07-31,LRD,1.3176
2018-07-31,LYD,1.7919
2018-07-31,MOP,10.65
2018-07-31,MKD,70.06
2018-07-31,MGA,4461.36
2018-07-31,MWK,956.36
2018-07-31,MVR,20.3
2018-07-31,MRO,470.77
2018-07-31,MUR,46.28
2018-07-31,MDL,22.25
2018-07-31,MNT,3205.7
2018-07-31,MAD,12.58
2018-07-31,MZN,78.02
2018-07-31,MMK,1813.2
2018-07-31,NPR,143.53
2018-07-31,NIO,41.5
2018-07-31,NGN,473.67
2018-07-31,OMR,0.5073
2018-07-31,PKR,159.75
2018-07-31,PAB,1.3176
2018-07-31,PGK,4.3014
2018-07-31,PYG,7514.89
2018-07-31,PEN,4.3276
2018-07-31,PLN,4.9137
2018-07-31,QAR,4.7974
2018-07-31,RON,5.3189
2018-07-31,RUB,83.83
2018-07-31,RWF,1151.57
2018-07-31,STD,27906.6
2018-07-31,RSD,134.36
2018-07-31,SCR,18.19
2018-07-31,SLL,10626.39
2018-07-31,SBD,10.39
2018-07-31,SOS,764.2
2018-07-31,LKR,210.78
2018-07-31,SDG,23.8
2018-07-31,SRD,9.8398
2018-07-31,SZL,18
2018-07-31,TZS,2997.52
2018-07-31,TOP,1.7867
2018-07-31,TTD,8.8959
2018-07-31,TND,3.4323
2018-07-31,TRY,6.2497
2018-07-31,TMT,4.6116
2018-07-31,UGX,5104.86
2018-07-31,UAH,34.9
2018-07-31,UYU,41.78
2018-07-31,UZS,10387.89
2018-07-31,VUV,145.41
2018-07-31,VEF,52713.58
2018-07-31,VND,30130.1
2018-07-31,WST,3.3655
2018-07-31,YER,329.74
2018-07-31,ZMW,13.27
2018-07-31,ZWL,476.83
2018-08-15,ARS,36.13
2018-08-15,AUD,1.7683
2018-08-15,BRL,5.0198
2018-08-15,CAD,1.7251
2018-08-15,DKK,8.355
2018-08-15,HKD,10.24
2018-08-15,INR,89.56
2018-08-15,ILS,4.7515
2018-08-15,JPY,147.17
2018-08-15,MYR,5.2966
2018-08-15,MXN,24.78
2018-08-15,NZD,1.9239
2018-08-15,NOK,10.66
2018-08-15,PHP,69.81
2018-08-15,SAR,4.8938
2018-08-15,SGD,1.7823
2018-08-15,ZAR,17.31
2018-08-15,KRW,1477.54
2018-08-15,SEK,11.56
2018-08-15,CHF,1.3046
2018-08-15,TWD,39.89
2018-08-15,THB,43.53
2018-08-15,USD,1.3049
2018-08-15,EUR,1.1208
2018-08-15,AED,4.7931
2018-08-15,ALL,141.29
2018-08-15,DZD,153.91
2018-08-15,AOA,330.86
2018-08-15,XCD,3.5232
2018-08-15,AMD,626.74
2018-08-15,AWG,2.3358
2018-08-15,AZN,2.2203
2018-08-15,BSD,1.3049
2018-08-15,BHD,0.492
2018-08-15,BDT,109.27
2018-08-15,BBD,2.6098
2018-08-15,BYN,2.5928
2018-08-15,BZD,2.6082
2018-08-15,XOF,735.2
2018-08-15,BMD,1.3049
2018-08-15,BTN,89.56
